date,type,code,name,buyShares,buyPrice,sellShares,sellPrice,fee,tax,amount,cost,spend,income,note,person
2024/7/8,買,8085,福華,2000,61.70,0,0,106,0,123400,106,123506,0,,alex
2024/7/10,賣,8085,福華,0,0,2000,66.00,113,396,132000,509,0,131491,,alex
2024/7/10,賣,8085,福華,0,0,1000,68.30,58,205,68300,263,0,68037,,alex
2024/7/11,買,1504,東元,1000,51.60,0,0,44,0,51600,44,51644,0,,alex
2024/7/16,買,8085,福華,1000,68.60,0,0,59,0,68600,59,68659,0,,alex
2024/7/19,買,4571,鈞興-KY,1000,133.50,0,0,114,0,133500,114,133614,0,,alex
2024/7/31,買,2382,廣達,1000,278.50,0,0,238,0,278500,238,278738,0,,alex
2024/9/2,賣,4571,鈞興-KY,0,0,1000,156.00,133,468,156000,601,0,155399,,alex
2024/10/14,賣,2382,廣達,0,0,1000,283.00,242,849,283000,1091,0,281909,,alex
2024/10/21,賣,8085,福華,0,0,2000,36.60,63,220,73200,282,0,72918,,alex
2025/1/7,買,00885,富邦越南,5000,11.57,0,0,49,0,57850,49,57899,0,,alex
2025/2/4,買,6136,富爾特,5000,23.15,0,0,99,0,115750,99,115849,0,,alex
2025/2/24,賣,2468,華經,0,0,1000,40.05,34,120,40050,154,0,39896,,alex
2025/2/24,賣,6136,富爾特,0,0,5000,25.50,109,383,127500,492,0,127008,,alex
2025/3/7,賣,2468,華經,0,0,1000,41.00,35,123,41000,158,0,40842,,alex
2025/3/7,買,2317,鴻海,1000,173.00,0,0,148,0,173000,148,173148,0,,alex
2025/3/10,賣,2468,華經,0,0,1000,43.20,37,130,43200,167,0,43033,,alex
2025/3/11,買,1101,台泥,2000,34.35,0,0,59,0,68700,59,68759,0,,alex
2025/3/14,買,1101,台泥,2000,33.35,0,0,57,0,66700,57,66757,0,,alex
2025/3/21,賣,2468,華經,0,0,1000,49.00,42,147,49000,189,0,48811,,alex
2025/3/24,買,1504,東元,1000,50.30,0,0,43,0,50300,43,50343,0,,alex
2025/3/24,賣,2468,華經,0,0,1000,53.90,46,162,53900,208,0,53692,,alex
2025/3/25,賣,2468,華經,0,0,1000,59.20,51,178,59200,228,0,58972,,alex
2025/3/26,賣,2468,華經,0,0,1000,65.10,56,195,65100,251,0,64849,,alex
